FID,Shape,AREA,NEW,FULL,Area,District,2018ppl,2018income,2018power,2018datanum,2019ppl,2019income,2019power,2019datanum,2020ppl,2020income,2020power,2020datanum
388,Polygon,145226.0513,6300300038,臺北市大安區虎嘯里,大安區,虎嘯里,3963,2366684,2083303,"1,722",3947,2067540,2005696,"1,720",3846,2112447,2172984,"1,715"
268,Polygon,150358.9266,6300300049,臺北市大安區建安里,大安區,建安里,5166,3509039,36384,10,5089,3120623,43798,15,4932,2945789,43372,20
289,Polygon,167013.3941,6300300050,臺北市大安區建倫里,大安區,建倫里,6462,4983939,16459,4,6436,5485950,29444,8,6384,4998989,35392,12
336,Polygon,118110.1385,6300300031,臺北市大安區通化里,大安區,通化里,6337,2520957,32098,18,6313,2194167,36669,20,6254,2255831,39722,22
335,Polygon,117749.7599,6300300032,臺北市大安區通安里,大安區,通安里,5691,2426028,13513,3,5568,2012974,18720,8,5459,2048689,14068,9
309,Polygon,177985.364,6300300051,臺北市大安區敦安里,大安區,敦安里,6676,6279246,7249,5,6656,5638635,6051,4,6561,5370092,11782,7
311,Polygon,131046.0441,6300300053,臺北市大安區敦煌里,大安區,敦煌里,6636,4690295,19018,4,6569,3816954,19196,4,6470,3784420,18004,4
266,Polygon,131992.418,6300300054,臺北市大安區華聲里,大安區,華聲里,4380,2389779,2103895,"1,585",4360,2169700,2080563,"1,585",4338,2982510,2278054,"1,580"
345,Polygon,92530.00743,6300300023,臺北市大安區新龍里,大安區,新龍里,7177,3632040,2821,3,7247,3425470,2610,2,7164,3442757,2684,2
367,Polygon,68686.80475,6300300037,臺北市大安區群英里,大安區,義安里,7054,3231932,5896,3,7033,2849750,5785,2,6929,2757555,10848,4
366,Polygon,143400.9622,6300300036,臺北市大安區群賢里,大安區,義村里,5992,3575921,6062,3,5921,3130340,4534,2,5811,3347054,6302,4
334,Polygon,173207.7024,6300300030,臺北市大安區義安里,大安區,群英里,5466,5727453,2392163,"2,530",5411,4940211,2337992,"2,527",5334,4786489,2544795,"2,521"
287,Polygon,245902.473,6300300006,臺北市大安區義村里,大安區,群賢里,5702,3428483,2129594,"1,773",5590,3242389,2067969,"1,762",5471,3228249,2269100,"1,761"
267,Polygon,112380.1644,6300300009,臺北市大安區誠安里,大安區,誠安里,4152,1944828,856720,770,4105,1689131,817120,767,4033,1760764,860589,762
329,Polygon,144089.5312,6300300017,臺北市大安區福住里,大安區,福住里,6889,4301057,8756,5,6892,3885963,9296,5,6886,4210296,9353,5
308,Polygon,146264.8838,6300300001,臺北市大安區德安里,大安區,德安里,5918,4121708,2712310,"2,176",5920,3669639,2590436,"2,174",5821,3604000,2800348,"2,161"
408,Polygon,293010.4654,6300300046,臺北市大安區黎元里,大安區,黎元里,5710,1605035,1375060,"1,322",5656,1250284,1315448,"1,321",5584,1292652,1455653,"1,322"
400,Polygon,273733.7728,6300300047,臺北市大安區黎孝里,大安區,黎孝里,7817,2989662,3068417,"2,818",7810,2484236,3003435,"2,817",7701,2376157,3228683,"2,813"
407,Polygon,502239.9914,6300300048,臺北市大安區黎和里,大安區,黎和里,4956,2024392,1870637,"1,953",4856,1656204,1816802,"1,923",4607,1621763,1920114,"1,853"
399,Polygon,2285205.749,6300300057,臺北市大安區學府里,大安區,學府里,2811,896484,278235,269,2744,789984,263189,269,2681,711565,286375,267
352,Polygon,160516.3744,6300300016,臺北市大安區錦安里,大安區,錦安里,6465,4683022,874509,840,6490,4252909,832280,840,6476,3951818,958983,840
342,Polygon,139307.8867,6300300020,臺北市大安區錦泰里,大安區,錦泰里,3922,2185101,1691,1,3980,1955206,1843,1,4040,1972140,1884,1
356,Polygon,107470.0727,6300300021,臺北市大安區錦華里,大安區,錦華里,6234,3675428,9853,4,6273,3427073,9696,4,6266,3514601,7623,4
364,Polygon,125137.6949,6300300028,臺北市大安區龍生里,大安區,龍生里,7136,4147457,2217,1,7137,3608105,4516,2,7113,3621894,3982,2
348,Polygon,176678.3531,6300300015,臺北市大安區龍安里,大安區,龍安里,8397,5330796,2315192,"1,933",8449,4823220,2147712,"1,936",8397,5491921,2429126,"1,931"
380,Polygon,145214.8842,6300300011,臺北市大安區龍坡里,大安區,龍坡里,6146,3524484,1939587,"1,837",6125,3109856,1684524,"1,836",6043,3049464,2123148,"1,810"
330,Polygon,509925.8645,6300300041,臺北市大安區龍門里,大安區,龍門里,4645,3171351,4107,2,4710,2766687,3241,1,4661,2931159,3907,2
379,Polygon,97264.30456,6300300012,臺北市大安區龍泉里,大安區,龍泉里,5158,2685622,9566,3,5318,2455037,16909,4,5331,2585695,17594,6
350,Polygon,88673.5926,6300300026,臺北市大安區龍陣里,大安區,龍陣里,3550,2075059,20614,10,3523,1896651,29105,12,3495,1990678,17300,9
385,Polygon,173439.7433,6300300040,臺北市大安區龍淵里,大安區,龍淵里,10338,5262553,37336,9,10424,4460061,31197,10,10238,4635305,35598,11
346,Polygon,161143.4795,6300300027,臺北市大安區龍雲里,大安區,龍雲里,4971,4741479,1844570,"1,402",4909,4922686,1805921,"1,402",4789,4725200,1981713,"1,401"
331,Polygon,219054.2034,6300300022,臺北市大安區龍圖里,大安區,龍圖里,6968,4316607,41844,11,6999,3856399,39917,11,6885,3860364,40993,13
351,Polygon,73196.56071,6300300033,臺北市大安區臨江里,大安區,臨江里,4236,1309658,17954,8,4182,1104987,16490,9,4134,1100302,14038,10
226,Polygon,290659.0086,6300400039,臺北市中山區力行里,中山區,力行里,6213,5528552,2084885,"1,703",6158,4936432,2022992,"1,696",6223,4853065,2349947,"1,684"
153,Polygon,192113.5111,6300400027,臺北市中山區下埤里,中山區,下埤里,7699,3337844,3099880,"2,912",7654,2815350,2982607,"2,905",7562,2793926,3479180,"2,905"
126,Polygon,1262458.585,6300400017,臺北市中山區大佳里,中山區,大佳里,1146,275632,171974,106,1097,206647,178226,104,1109,210691,198232,104
90,Polygon,635106.8417,6300400014,臺北市中山區大直里,中山區,大直里,9758,4093412,17559,5,9619,3394939,20281,6,9451,3301489,18379,7
190,Polygon,164856.8302,6300400006,臺北市中山區中山里,中山區,中山里,6813,2869697,1005526,"1,222",6838,2475914,966437,"1,214",6779,2490754,1026176,"1,212"
193,Polygon,248720.4119,6300400033,臺北市中山區中央里,中山區,中央里,3877,2177027,1554280,"1,378",3814,1764843,1464146,"1,371",3721,1714978,1710884,"1,368"
192,Polygon,193284.4122,6300400030,臺北市中山區中吉里,中山區,中吉里,5856,3057421,6770,5,5891,2848558,9661,6,5806,2652763,9968,9
180,Polygon,145686.8844,6300400023,臺北市中山區中庄里,中山區,中庄里,5263,1882291,4570,2,5220,1584507,11157,5,5056,1521900,13978,9
191,Polygon,169403.1582,6300400031,臺北市中山區中原里,中山區,中原里,5210,2665236,6130,2,5204,2329315,10803,4,5205,2322151,11382,6
88,Polygon,430941.206,6300400042,臺北市中山區北安里,中山區,北安里,2750,1143886,1658,1,2715,910070,1509,1,2670,907128,2977,2
242,Polygon,100655.5459,6300400001,臺北市中山區正守里,中山區,正守里,3276,1556754,16127,5,3313,1306723,21537,8,3282,1296525,17451,7
222,Polygon,145425.7688,6300400003,臺北市中山區正得里,中山區,正得里,3705,2540630,2462396,"2,695",3732,2131576,2457228,"2,689",3660,2227378,2696101,"2,643"
223,Polygon,133892.7077,6300400002,臺北市中山區正義里,中山區,正義里,5385,1863467,33185,15,5326,2114714,40235,16,5260,1507649,36976,22
194,Polygon,209937.1948,6300400004,臺北市中山區民安里,中山區,民安里,4647,2199181,1005250,"1,034",4572,1959209,939853,979,4564,1860548,1040213,974
118,Polygon,339356.4602,6300400016,臺北市中山區永安里,中山區,永安里,9924,7282939,44732,15,9916,6745621,48127,17,9683,7252727,53359,22
104,Polygon,643793.8477,6300400015,臺北市中山區成功里,中山區,成功里,7230,8059297,25704,13,7152,7688757,35804,19,7046,6833355,43083,24
245,Polygon,127543.8036,6300400038,臺北市中山區朱崙里,中山區,朱崙里,2895,1481994,1969,1,2923,1377307,2361,2,2962,1463856,7044,4
225,Polygon,274595.9836,6300400036,臺北市中山區朱園里,中山區,朱園里,4678,3668533,2892879,"2,584",4645,3496850,2783583,"2,586",4610,3538482,2983015,"2,573"
