"Area","District","X2018income","X2018power","X2018datanum","X2019income","X2019power","X2019datanum","X2020income","X2020power","X2020datanum","power_per_house_2018","power_per_house_2019","power_per_house_2020"
"大安區","龍雲里",4741479,1844570,1402,4922686,1805921,1402,4725200,1981713,1401,1315.67047075606,1288.10342368046,1414.49892933619
"大安區","龍圖里",4316607,41844,11,3856399,39917,11,3860364,40993,13,3804,3628.81818181818,3153.30769230769
"大安區","臨江里",1309658,17954,8,1104987,16490,9,1100302,14038,10,2244.25,1832.22222222222,1403.8
"中山區","力行里",5528552,2084885,1703,4936432,2022992,1696,4853065,2349947,1684,1224.24251321198,1192.80188679245,1395.4554631829
"中山區","下埤里",3337844,3099880,2912,2815350,2982607,2905,2793926,3479180,2905,1064.51923076923,1026.71497418244,1197.65232358003
"中山區","大佳里",275632,171974,106,206647,178226,104,210691,198232,104,1622.39622641509,1713.71153846154,1906.07692307692
"中山區","大直里",4093412,17559,5,3394939,20281,6,3301489,18379,7,3511.8,3380.16666666667,2625.57142857143
"中山區","中山里",2869697,1005526,1222,2475914,966437,1214,2490754,1026176,1212,822.852700490998,796.076606260297,846.679867986799
"中山區","中央里",2177027,1554280,1378,1764843,1464146,1371,1714978,1710884,1368,1127.92452830189,1067.9401896426,1250.64619883041
"中山區","中吉里",3057421,6770,5,2848558,9661,6,2652763,9968,9,1354,1610.16666666667,1107.55555555556
"中山區","中庄里",1882291,4570,2,1584507,11157,5,1521900,13978,9,2285,2231.4,1553.11111111111
"中山區","中原里",2665236,6130,2,2329315,10803,4,2322151,11382,6,3065,2700.75,1897
"中山區","北安里",1143886,1658,1,910070,1509,1,907128,2977,2,1658,1509,1488.5
"中山區","正守里",1556754,16127,5,1306723,21537,8,1296525,17451,7,3225.4,2692.125,2493
"中山區","正得里",2540630,2462396,2695,2131576,2457228,2689,2227378,2696101,2643,913.690538033395,913.807363332094,1020.09118426031
"中山區","正義里",1863467,33185,15,2114714,40235,16,1507649,36976,22,2212.33333333333,2514.6875,1680.72727272727
"中山區","民安里",2199181,1005250,1034,1959209,939853,979,1860548,1040213,974,972.195357833656,960.013278855975,1067.98049281314
"中山區","永安里",7282939,44732,15,6745621,48127,17,7252727,53359,22,2982.13333333333,2831,2425.40909090909
"中山區","成功里",8059297,25704,13,7688757,35804,19,6833355,43083,24,1977.23076923077,1884.42105263158,1795.125
"中山區","朱崙里",1481994,1969,1,1377307,2361,2,1463856,7044,4,1969,1180.5,1761
"中山區","朱園里",3668533,2892879,2584,3496850,2783583,2586,3538482,2983015,2573,1119.53521671827,1076.40487238979,1159.35289545278
"中山區","朱馥里",2368037,851268,823,2044452,810571,821,1975679,964496,815,1034.347509113,987.297198538368,1183.43067484663
"中山區","江山里",3493370,1271799,1079,3001512,1203153,1067,3038174,1441852,1070,1178.68303985171,1127.60356138707,1347.52523364486
"中山區","江寧里",3418699,1566836,1365,3018620,1502744,1360,2951080,1796898,1362,1147.8652014652,1104.95882352941,1319.30837004405
"中山區","行仁里",2643354,3063793,2712,2081083,2920212,2709,2084526,3382826,2706,1129.71718289086,1077.96677740864,1250.12047302291
"中山區","行孝里",1280764,1595156,1418,1041091,1522868,1418,1076915,1744174,1416,1124.93370944993,1073.95486600846,1231.76129943503
"中山區","行政里",2079313,2297609,2030,1674256,2229644,2029,1668848,2500707,2027,1131.82709359606,1098.8881222277,1233.69856931426
"中山區","松江里",5598296,1528555,1216,4846931,1419824,1143,3860897,1610797,1146,1257.03536184211,1242.19072615923,1405.58202443281
